NUM_OF_CORE,MORSEL_SIZE,cols,recSize,TimeTaken
10,1584264,3,264,29.80000
10,1637064,3,264,33.00000
10,1689864,3,264,30.60000
10,1742664,3,264,28.40000
10,1795464,3,264,29.80000
10,1848264,3,264,28.60000
10,1901064,3,264,27.50000
10,1953864,3,264,32.50000
10,2006664,3,264,28.50000
10,2059464,3,264,33.80000
12,264,3,264,26.25000
12,53064,3,264,24.25000
12,105864,3,264,27.66667
12,158664,3,264,31.66667
12,211464,3,264,29.50000
12,264264,3,264,28.16667
12,317064,3,264,26.75000
12,369864,3,264,26.16667
12,422664,3,264,27.58333
12,475464,3,264,27.00000
12,528264,3,264,22.33333
12,581064,3,264,26.50000
12,633864,3,264,25.75000
12,686664,3,264,24.83333
12,739464,3,264,30.50000
12,792264,3,264,27.16667
12,845064,3,264,28.08333
12,897864,3,264,29.91667
12,950664,3,264,24.50000
12,1003464,3,264,29.83333
12,1056264,3,264,30.33333
12,1109064,3,264,27.00000
12,1161864,3,264,27.08333
12,1214664,3,264,23.33333
12,1267464,3,264,26.33333
12,1320264,3,264,24.58333
12,1373064,3,264,24.41667
12,1425864,3,264,25.75000
12,1478664,3,264,26.91667
12,1531464,3,264,22.75000
12,1584264,3,264,23.41667
12,1637064,3,264,26.25000
12,1689864,3,264,25.33333
12,1742664,3,264,27.50000
12,1795464,3,264,20.16667
12,1848264,3,264,28.50000
12,1901064,3,264,23.41667
12,1953864,3,264,27.41667
12,2006664,3,264,25.08333
12,2059464,3,264,31.16667
14,264,3,264,26.00000
14,53064,3,264,26.71428
14,105864,3,264,23.64286
14,158664,3,264,26.42857
14,211464,3,264,25.50000
14,264264,3,264,28.50000
14,317064,3,264,25.00000
14,369864,3,264,23.28572
14,422664,3,264,23.57143
14,475464,3,264,23.28572
14,528264,3,264,19.78572
14,581064,3,264,24.00000
14,633864,3,264,26.28572
14,686664,3,264,22.71428
14,739464,3,264,21.28572
14,792264,3,264,25.42857
14,845064,3,264,23.57143
14,897864,3,264,26.28572
14,950664,3,264,30.50000
14,1003464,3,264,23.64286
14,1056264,3,264,25.07143
14,1109064,3,264,23.71428
14,1161864,3,264,26.28572
14,1214664,3,264,23.85714
14,1267464,3,264,21.42857
14,1320264,3,264,25.42857
14,1373064,3,264,24.42857
14,1425864,3,264,25.28572
14,1478664,3,264,24.50000
14,1531464,3,264,25.85714
14,1584264,3,264,22.78572
14,1637064,3,264,23.64286
14,1689864,3,264,27.28572
14,1742664,3,264,24.00000
14,1795464,3,264,23.64286
14,1848264,3,264,24.71428
14,1901064,3,264,24.07143
14,1953864,3,264,25.85714
14,2006664,3,264,24.14286
14,2059464,3,264,24.07143
16,264,3,264,25.06250
16,53064,3,264,23.81250
16,105864,3,264,20.87500
16,158664,3,264,24.12500
16,211464,3,264,22.87500
16,264264,3,264,21.62500
16,317064,3,264,25.25000
16,369864,3,264,23.75000
16,422664,3,264,23.68750
16,475464,3,264,27.87500
16,528264,3,264,27.37500
16,581064,3,264,23.31250
16,633864,3,264,21.18750
16,686664,3,264,23.87500
16,739464,3,264,22.62500
16,792264,3,264,24.37500
16,845064,3,264,20.56250
16,897864,3,264,23.25000
16,950664,3,264,23.12500
16,1003464,3,264,22.43750
16,1056264,3,264,24.25000
16,1109064,3,264,22.31250
16,1161864,3,264,23.06250
16,1214664,3,264,25.12500
16,1267464,3,264,24.18750
16,1320264,3,264,24.37500
16,1373064,3,264,21.31250
16,1425864,3,264,20.56250
16,1478664,3,264,24.50000
16,1531464,3,264,23.12500
16,1584264,3,264,24.12500
16,1637064,3,264,21.00000
16,1689864,3,264,24.75000
16,1742664,3,264,24.81250
16,1795464,3,264,24.00000
16,1848264,3,264,22.50000
16,1901064,3,264,20.06250
16,1953864,3,264,20.62500
16,2006664,3,264,22.25000
16,2059464,3,264,17.81250
18,264,3,264,22.66667
18,53064,3,264,22.16667
18,105864,3,264,23.27778
18,158664,3,264,23.00000
18,211464,3,264,23.55556
18,264264,3,264,24.27778
18,317064,3,264,22.11111
18,369864,3,264,23.16667
18,422664,3,264,23.16667
18,475464,3,264,20.77778
18,528264,3,264,21.83333
18,581064,3,264,22.16667
18,633864,3,264,19.83333
18,686664,3,264,22.33333
18,739464,3,264,23.38889
18,792264,3,264,20.66667
